order_item_id,uf_id,order_id,unit_price_stamp,product_id,quantity,arrived,revised,shop_quantity
12197,13,48,1.29,204,1,1,1,1
10646,18,48,1.29,204,1,1,1,1
10645,18,48,1.29,205,1,1,1,1
10765,9,48,0.6,207,1,1,1,1
12192,13,48,1.89,211,1,1,1,1
12191,13,48,1.65,213,1,1,1,1
9556,7,48,1.65,213,1,1,1,1
9203,5,48,3,214,1,1,1,1
11931,19,48,0.99,215,1,1,1,1
12193,13,48,1.15,217,2,1,1,2
9204,5,48,1.15,217,1,1,1,1
12200,13,48,1.15,218,1,1,1,1
11932,19,48,1.15,218,1,1,1,1
10477,11,48,1.15,218,1,1,1,1
10476,11,48,3.25,220,0,0,1,0
9101,22,48,1.79,221,1.5,1,1,1.5
9209,5,48,1.85,223,1,0,1,1
12198,13,48,1.85,223,1,0,1,1
9559,7,48,2.25,224,1,0,1,1
10643,18,48,1.75,225,1,1,1,1
12195,13,48,1.39,227,1,1,1,1
12190,13,48,3.35,231,1,0,1,1
12021,3,48,2.99,232,1,1,1,1
10638,18,48,1.99,234,0.5,1,1,0.5
12188,13,48,1.99,235,0,1,0,0
12022,3,48,1.99,235,2,1,0,2
11925,19,48,2.99,236,0.5,1,0,0.5
10471,11,48,2.99,236,0.5,1,0,0.5
9201,5,48,2.99,236,1,1,0,1
10761,9,48,2.99,236,1,1,0,1
12189,13,48,2.99,237,2,1,0,2
10472,11,48,2.99,237,0.5,1,0,0.5
10637,18,48,1.65,239,1,1,1,1
10764,9,48,2.99,241,0.5,1,1,0.5
9102,22,48,2.99,241,0.5,1,1,0.5
9103,22,48,2.49,242,0.465,1,1,0.5
10475,11,48,2.29,244,1,1,1,1
12196,13,48,3.99,246,1,0,1,1
10644,18,48,4.99,247,0.5,1,1,0.5
11930,19,48,2.4,248,0.5,1,1,0.5
9207,5,48,2.99,251,1,1,1,1
10641,18,48,3.29,252,0.5,1,1,0.5
11927,19,48,2.99,253,0.5,1,1,0.5
11926,19,48,3.49,254,0.5,0,1,0.5
10640,18,48,3.49,254,1,0,1,1
11929,19,48,2.99,259,0.5,0,1,0.5
9557,7,48,2.99,259,1,0,1,1
9206,5,48,2.99,261,1,1,1,1
10762,9,48,2.99,261,0.5,1,1,0.5
11465,4,48,2.99,261,0.5,1,1,0.5
9555,7,48,2.99,261,0.5,1,1,0.5
10635,18,48,3.29,264,0.5,1,1,0.5
10478,11,48,4.99,266,0.5,1,1,0.5
9558,7,48,3.99,267,0.5,1,1,0.5
10642,18,48,2.49,268,1,1,1,1
9208,5,48,2.49,268,2,1,1,2
9104,22,48,2.49,268,0.5,1,1,0.5
11463,4,48,2.49,268,0.5,1,1,0.5
10639,18,48,1.49,270,1,0,1,1
9202,5,48,1.39,272,1,0,1,1
12023,3,48,1.39,272,1,0,1,1
9554,7,48,1.59,275,1,1,1,1
12199,13,48,1.89,276,1,1,1,1
9106,22,48,0.45,279,2,1,1,2
11933,19,48,0.45,279,1,1,1,1
10647,18,48,3.75,283,1,1,0,1
12025,3,48,1.85,285,1,1,1,1
11464,4,48,2.49,338,0.5,1,1,0.5
10474,11,48,2.49,338,1,1,1,1
12024,3,48,2.49,338,1,1,1,1
12194,13,48,2.49,338,1,1,1,1
10763,9,48,2.99,392,1,1,1,1
10473,11,48,2.99,392,1,1,1,1
11462,4,48,2.99,392,0.5,1,1,0.5
10636,18,48,3.29,393,0.5,1,1,0.5
9205,5,48,3.29,393,2,1,1,2
9105,22,48,3.29,393,0.5,1,1,0.5
11928,19,48,1.49,401,1,1,1,1
