id,name,contact,address,nif,zip,city,phone1,phone2,fax,email,web,bank_name,bank_account,picture,notes,active,responsible_uf_id,responsible_uf_name,offset_order_close,ts
12,Agroles,,,,,,,,,,,,,,,1,10,Cistella10,0,"2013-01-13 23:11:23"
1,"Cal Nanot",,,,,,,,,,,,,,,1,13,Cistella13,0,"2013-01-13 15:38:25"
2,"Cal Rosset",,,,,,,,,,,,,,,1,4,Cistella04,0,"2013-01-13 18:23:51"
9,"Can Bee",,,,,,,,,,,,,,,1,10,Cistella10,0,"2013-01-13 22:05:14"
10,"Can Busquets",,,,,,,,,,,,,,,1,10,Cistella10,0,"2013-01-13 22:05:30"
7,"Can Maia",,,,,,,,,,,,,,,1,13,Cistella13,0,"2013-01-13 22:04:24"
3,"Can Valls",,,,,,,,,,,,,,,1,1,Cistella01,0,"2013-01-13 18:24:09"
13,"Carne de ternera",,,,,,,,,,,,,,,1,11,Cistella11,0,"2013-01-13 23:16:28"
6,Ecoriera,,,,,,,,,,,,,,,1,13,Cistella13,0,"2013-01-13 22:03:41"
11,"Juan Felis",,,,,,,,,,,,,,,1,1,Cistella01,0,"2013-01-13 23:10:29"
5,"La Selvatana",,,,,,,,,,,,,,,1,13,Cistella13,0,"2013-01-13 22:03:23"
4,"Mas Claperol",,,,,,,,,,,,,,,1,13,Cistella13,0,"2013-01-13 22:02:58"
8,"Mas Marce",,,,,,,,,,,,,,,1,13,Cistella13,0,"2013-01-13 22:04:40"
